location,price,price_number,params,id,description,title,url,date,engine,mileage,brand,year,age
"Ростовская обл., Ростов-на-Дону",1020000.0,1 020 000,"135 563 км, 1.6 MT (130 л.с.), седан, передний, бензин",7650477076,"135 563 км, 1.6 MT (130 л.с.), седан, передний, бензин","Kia Cerato 1.6 MT, 2015, 135 563 км",https://www.avito.ru/rostov-na-donu/avtomobili/kia_cerato_1.6_mt_2015_135_563_km_7650477076?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.6 MT (130 л.с.),135 563 км,Kia,2015,10
Москва,1295000.0,1 295 000,"166 000 км, 2.0 AT (150 л.с.), внедорожник, передний, бензин",7749890710,"166 000 км, 2.0 AT (150 л.с.), внедорожник, передний, бензин","Hyundai Creta 2.0 AT, 2019, 166 000 км",https://www.avito.ru/moskva/avtomobili/hyundai_creta_2.0_at_2019_166_000_km_7749890710?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,2.0 AT (150 л.с.),166 000 км,Hyundai,2019,6
"Чеченская Республика, Грозный",1420000.0,1 420 000,"208 000 км, 1.8 AT (156 л.с.), седан, задний, бензин",7767431345,"208 000 км, 1.8 AT (156 л.с.), седан, задний, бензин","Mercedes-Benz C-класс 1.8 AT, 2012, 208 000 км",https://www.avito.ru/groznyy/avtomobili/mercedes-benz_c-klass_1.8_at_2012_208_000_km_7767431345?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.8 AT (156 л.с.),208 000 км,Mercedes,2012,13
"Республика Адыгея, Гиагинский р-н, Гиагинское сельское поселение, станица Гиагинская",245000.0,245 000,"330 000 км, 1.6 MT (101 л.с.), седан, передний, бензин",7763000213,"330 000 км, 1.6 MT (101 л.с.), седан, передний, бензин","Kia Spectra 1.6 MT, 2008, 330 000 км",https://www.avito.ru/giaginskaya/avtomobili/kia_spectra_1.6_mt_2008_330_000_km_7763000213?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,7 дней назад,1.6 MT (101 л.с.),330 000 км,Kia,2008,17
"Владимирская обл., Муром",250000.0,250 000,"150 000 км, 1.6 MT (98 л.с.), седан, передний, бензин",7744346385,"150 000 км, 1.6 MT (98 л.с.), седан, передний, бензин","ВАЗ (LADA) Priora 1.6 MT, 2010, 150 000 км",https://www.avito.ru/murom/avtomobili/vaz_lada_priora_1.6_mt_2010_150_000_km_7744346385?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,3 дня назад,1.6 MT (98 л.с.),150 000 км,Lada,2010,15
"Нижегородская обл., Нижний Новгород",1980000.0,1 980 000,"92 636 км, 2.8 MT (150 л.с.), фургон, задний, дизель",7749169110,"92 636 км, 2.8 MT (150 л.с.), фургон, задний, дизель","ГАЗ ГАЗель Next 2.8 MT, 2021, 92 636 км",https://www.avito.ru/nizhniy_novgorod/avtomobili/gaz_gazel_next_2.8_mt_2021_92_636_km_7749169110?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,2.8 MT (150 л.с.),92 636 км,ГАЗ,2021,4
"Ростовская обл., Волгодонск",1450000.0,1 450 000,"155 000 км, 1.6 AT (123 л.с.), седан, передний, бензин",7655562517,"155 000 км, 1.6 AT (123 л.с.), седан, передний, бензин","Hyundai Solaris 1.6 AT, 2018, 155 000 км",https://www.avito.ru/volgodonsk/avtomobili/hyundai_solaris_1.6_at_2018_155_000_km_7655562517?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,1 час назад,1.6 AT (123 л.с.),155 000 км,Hyundai,2018,7
"Чувашская Республика, Новочебоксарск",350000.0,350 000,"137 000 км, 1.6 MT (87 л.с.), хетчбэк, передний, бензин",7655261120,"137 000 км, 1.6 MT (87 л.с.), хетчбэк, передний, бензин","ВАЗ (LADA) Priora 1.6 MT, 2012, 137 000 км",https://www.avito.ru/novocheboksarsk/avtomobili/vaz_lada_priora_1.6_mt_2012_137_000_km_7655261120?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,1 час назад,1.6 MT (87 л.с.),137 000 км,Lada,2012,13
"Республика Крым, Симферопольский р-н, Трудовское сельское поселение, СТ Автомобилист-Березка",500000.0,500 000,"294 000 км, 2.0 MT (136 л.с.), внедорожник, передний, бензин",7677422903,"294 000 км, 2.0 MT (136 л.с.), внедорожник, передний, бензин","Chery Tiggo 5 2.0 MT, 2014, 294 000 км",https://www.avito.ru/simferopol/avtomobili/chery_tiggo_5_2.0_mt_2014_294_000_km_7677422903?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,2.0 MT (136 л.с.),294 000 км,Chery,2014,11
"Республика Татарстан, Чистопольский р-н, муниципальное образование Чистополь, Чистополь",389000.0,389 000,"277 000 км, 1.6 MT (100 л.с.), хетчбэк, передний, бензин",7682753419,"277 000 км, 1.6 MT (100 л.с.), хетчбэк, передний, бензин","Ford Focus 1.6 MT, 2011, 277 000 км",https://www.avito.ru/chistopol/avtomobili/ford_focus_1.6_mt_2011_277_000_km_7682753419?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJQb3ladnkwQ2E0SDUyc0NTIjt92E9mLz8AAAA,,1.6 MT (100 л.с.),277 000 км,Ford,2011,14
